ActualPower;Max Capacity;Location 3;Location 5;Location 7;Location 9
8,654;42,5;6,359;6,406;6,197;5,434
9,16;42,5;6,439;6,506;6,307;5,511
11,62;42,5;6,497;6,573;6,365;5,513
11,752;42,5;6,55;6,63;6,405;5,479
11,172;42,5;6,597;6,683;6,452;5,454
12,05;42,5;6,629;6,721;6,499;5,467
12,348;42,5;6,646;6,744;6,539;5,506
11,278;42,5;6,65;6,749;6,563;5,558
10,527;42,5;6,613;6,714;6,55;5,595
9,199;42,5;6,561;6,665;6,52;5,621
8,32;42,5;6,484;6,587;6,461;5,62
8,81;42,5;6,388;6,481;6,371;5,588
10,028;42,5;6,298;6,382;6,294;5,581
7,268;42,5;6,234;6,296;6,242;5,637
3,357;42,5;6,178;6,211;6,177;5,68
0,683;42,5;6,059;6,061;6,062;5,712
0,916;42,5;5,225;5,179;5,295;5,377
1,398;43,75;4,9;4,83;4,956;5,093
2,417;43,75;4,74;4,704;4,857;4,982
2,703;43,75;4,564;4,553;4,709;4,734
1,306;43,75;4,419;4,429;4,556;4,385
1,02;43,75;4,325;4,353;4,442;4,063
0,994;43,75;4,27;4,317;4,371;3,838
2,018;43,75;4,227;4,285;4,322;3,717
3,669;43,75;4,186;4,249;4,266;3,65
4,059;43,75;4,154;4,216;4,193;3,57
4,697;43,75;4,139;4,199;4,106;3,427
4,671;43,75;4,126;4,174;4,004;3,216
3,452;43,75;4,036;4,058;3,855;2,947
2,926;43,75;3,814;3,801;3,644;2,623
3,501;43,75;3,347;3,289;3,198;1,963
3,082;43,75;2,627;2,492;2,554;1,403
2,498;43,75;1,741;1,523;1,377;0,516
2,095;43,75;1,677;1,355;0,92;0,645
1,891;43,75;1,887;1,35;0,945;1,284
1,75;43,75;1,535;1,024;0,789;1,683
1,517;;1,111;0,526;0,524;1,729
1,596;;0,542;0,116;0,463;1,811
1,537;;0,122;0,594;0,779;1,988
0,674;43,75;0,511;0,913;1,071;2,171
0,045;43,75;0,74;0,941;1,151;2,331
